Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
COBB-MCCLURE 01,67,72,0,605,653,4,4,6,0,10,17,0,0,2,0,9,12,0,45,45,0,1551,289,199,1262,12.83
COBB-MARIETTA 1A,762,1037,2,690,723,1,35,23,1,151,152,0,1,2,0,41,44,1,159,146,7,3978,2564,2252,1414,56.61
COBB-MARIETTA 2A,98,101,1,786,952,0,7,13,0,17,24,0,1,2,0,13,15,0,40,33,2,2105,367,292,1738,13.87
COBB-MARIETTA 2B,638,1028,1,1001,1040,3,35,42,0,69,94,0,1,1,0,42,45,0,134,119,2,4295,2251,1996,2044,46.47
COBB-MARIETTA 3A,748,1438,0,1323,1846,0,28,37,1,75,114,1,3,8,0,48,72,1,152,177,2,6074,2905,2574,3169,42.38
COBB-MARIETTA 4A,13,23,0,758,921,0,10,13,0,7,10,0,1,0,0,6,7,0,36,37,2,1844,165,90,1679,4.88
COBB-MARIETTA 4B,105,153,0,623,794,0,45,31,1,25,49,0,3,1,0,16,26,0,69,78,1,2020,603,455,1417,22.52
COBB-MARIETTA 4C,128,165,0,961,1106,0,33,34,0,19,21,0,0,7,0,18,24,0,61,60,1,2638,571,449,2067,17.02
COBB-MARIETTA 5A,608,834,1,399,475,0,11,14,0,44,77,1,1,1,0,9,37,0,101,109,4,2726,1852,1638,874,60.09
COBB-MARIETTA 5B,519,815,0,437,463,0,26,34,0,76,83,0,2,4,0,31,37,1,124,105,3,2760,1860,1628,900,58.99
COBB-MARIETTA 6A,465,700,0,463,476,1,22,23,0,73,86,0,1,2,0,30,37,1,109,104,1,2594,1654,1440,940,55.51
COBB-MARIETTA 6B,239,267,0,828,992,1,75,63,0,41,60,1,0,1,0,34,33,0,77,79,2,2793,972,814,1821,29.14
COBB-MARIETTA 7A,993,1331,7,411,449,1,29,28,0,125,149,0,3,3,0,42,55,1,168,180,3,3978,3117,2766,861,69.53
COBB-MARS HILL 01,108,110,0,1350,1375,4,15,21,0,51,48,0,2,1,0,21,23,0,93,77,2,3301,572,400,2729,12.12
COBB-MARS HILL 02,187,210,0,878,1002,0,31,37,0,91,101,0,5,1,0,25,30,0,97,86,2,2783,903,718,1880,25.8
COBB-MT BETHEL 01,50,68,0,1710,1810,4,81,90,0,34,47,0,1,1,0,29,31,0,99,89,4,4148,624,432,3524,10.41
COBB-MT BETHEL 03,56,88,0,1069,1391,4,126,117,1,28,41,1,4,2,0,20,30,0,81,78,2,3139,675,514,2464,16.37
COBB-MT BETHEL 04,50,50,0,1247,1303,5,48,64,0,17,25,0,1,2,0,23,36,0,64,80,0,3015,460,316,2555,10.48
COBB-NORTH COBB 01,189,238,0,697,728,0,38,42,1,54,70,0,1,3,0,17,26,2,74,87,4,2271,846,681,1425,29.99
COBB-NICKAJACK 01,757,1286,2,960,1027,1,64,66,0,70,78,0,4,4,0,37,79,0,171,200,2,4808,2820,2447,1988,50.89
COBB-NORTON PARK 01,562,831,1,1019,1198,1,32,37,0,177,187,0,3,1,0,40,62,0,125,115,2,4393,2175,1933,2218,44
COBB-NICHOLSON 01,124,138,0,914,965,1,18,22,0,47,59,0,2,1,0,17,30,0,66,74,0,2478,598,458,1880,18.48
COBB-OAKDALE 01,375,579,2,1137,1248,2,51,64,0,33,67,0,3,2,0,38,40,0,96,99,3,3839,1452,1254,2387,32.66
COBB-OREGON 01,104,129,0,609,622,1,13,18,0,14,11,0,1,0,0,11,6,0,40,31,1,1611,379,307,1232,19.06
COBB-OREGON 02,1106,1496,2,784,864,0,44,56,0,181,213,1,2,3,0,58,82,0,188,151,4,5235,3587,3244,1648,61.97
COBB-OREGON 03,613,959,0,600,731,1,29,25,0,115,172,0,2,3,0,29,39,1,105,103,3,3530,2198,1987,1332,56.29
COBB-OREGON 04,900,1162,0,597,746,1,36,23,0,149,161,0,4,7,0,32,54,0,134,127,3,4136,2792,2528,1344,61.12
COBB-OREGON 05,570,657,3,959,1041,2,22,22,0,36,58,0,1,0,0,25,41,0,97,108,4,3646,1644,1435,2002,39.36
COBB-PEBBLEBROOK 01,1296,1739,2,483,529,1,12,16,0,152,175,1,5,5,0,36,59,0,134,117,3,4765,3752,3498,1013,73.41
COBB-POWERS FERRY 01,184,255,0,1157,1343,2,48,60,1,61,93,0,0,3,0,35,34,0,106,83,2,3467,965,774,2502,22.32
COBB-PINE MOUNTAIN 01,136,152,0,1268,1314,1,43,45,0,37,41,1,0,2,0,25,21,0,102,93,0,3281,698,503,2583,15.33
COBB-PINE MOUNTAIN 02,80,94,0,1178,1258,4,29,34,0,26,35,0,1,0,0,16,23,0,87,61,3,2929,489,338,2440,11.54
COBB-POST OAK 01,87,109,0,1504,1523,3,57,55,0,38,45,0,3,0,0,34,45,0,109,90,3,3705,675,473,3030,12.77
COBB-POPE 01,107,126,0,1186,1207,0,75,74,0,36,42,0,0,1,0,28,25,0,100,90,4,3101,708,514,2393,16.58
COBB-PALMER 01,166,193,1,904,986,0,34,42,0,45,61,0,1,1,0,20,26,0,67,76,0,2623,733,590,1890,22.49
COBB-POWDER SPRINGS 1A,766,1035,2,777,941,1,15,28,0,54,76,0,0,2,0,24,36,0,95,75,5,3932,2213,2038,1719,51.83
COBB-POWDER SPRINGS 2A,829,1192,0,340,457,2,9,10,0,78,92,0,1,0,0,32,35,0,76,80,6,3239,2440,2278,799,70.33
COBB-POWDER SPRINGS 3A,747,1047,1,558,649,1,15,19,1,53,74,0,1,2,0,25,38,0,83,69,2,3385,2177,2023,1208,59.76
COBB-PITNER 01,178,173,0,1017,1047,3,27,23,0,35,59,0,1,0,0,20,30,0,94,89,3,2799,732,546,2067,19.51
COBB-ROCKY MOUNT 01,138,140,2,1227,1329,3,66,86,1,41,51,0,3,0,0,26,34,0,99,90,3,3339,780,588,2559,17.61
COBB-RIVERSIDE 01,632,939,2,71,77,0,4,10,0,46,49,0,1,0,0,8,25,0,51,41,2,1958,1810,1716,148,87.64
COBB-ROSWELL 01,96,98,1,2262,2327,2,76,79,0,52,57,0,0,0,0,40,54,0,160,122,3,5429,838,553,4591,10.19
COBB-ROSWELL 02,57,48,0,1476,1530,3,118,110,0,43,49,0,1,1,0,26,29,1,112,112,5,3721,712,483,3009,12.98
COBB-SANDY PLAINS 01,146,166,0,986,1079,4,74,88,0,45,55,0,3,5,0,33,36,0,95,90,1,2906,837,651,2069,22.4
COBB-SHALLOWFORD FALLS 01,95,102,0,1353,1392,3,54,64,1,45,41,1,2,2,0,20,23,0,82,94,1,3375,627,450,2748,13.33
COBB-SIMPSON 01,41,52,0,717,805,2,49,60,0,16,23,0,0,0,0,14,21,0,68,52,1,1921,397,276,1524,14.37
COBB-SEWELL MILL 01,82,100,0,1132,1207,1,205,214,1,37,56,0,1,3,0,39,42,0,96,109,6,3331,991,780,2340,23.42
COBB-SEWELL MILL 03,476,755,2,1281,1473,3,54,77,1,88,122,0,1,0,0,58,62,0,160,196,5,4814,2057,1696,2757,35.23
COBB-SMYRNA 1A,732,1142,2,664,720,0,48,42,0,96,134,1,6,1,0,43,70,1,165,150,3,4020,2636,2318,1384,57.66
COBB-SMYRNA 2A,866,1379,1,984,1229,2,57,73,1,102,122,0,3,7,0,26,86,0,205,209,6,5358,3143,2723,2215,50.82
COBB-SMYRNA 3A,804,1133,4,1559,1809,1,58,70,0,87,117,0,2,7,0,40,58,0,166,182,7,6104,2735,2380,3369,38.99
COBB-SMYRNA 4A,523,802,3,1735,2090,3,66,68,0,51,90,0,1,4,0,52,42,0,158,150,6,5844,2016,1702,3828,29.12
COBB-SMYRNA 5A,546,746,1,749,850,0,35,50,0,151,173,0,3,5,0,36,44,0,121,96,6,3612,2013,1790,1599,49.56
COBB-SMYRNA 6A,616,929,1,1764,1900,1,88,99,0,61,81,2,3,5,0,54,81,0,176,156,6,6023,2358,2020,3665,33.54
COBB-SMYRNA 7A,790,1093,5,1390,1588,7,147,176,0,64,98,0,5,3,0,51,75,0,174,167,2,5835,2850,2507,2985,42.96
COBB-SOPE CREEK 01,55,78,0,903,968,2,33,36,1,22,26,0,1,3,0,19,15,0,47,29,2,2240,367,289,1873,12.9
COBB-SOPE CREEK 02,256,314,0,1652,1668,5,90,96,0,59,69,1,8,4,0,47,43,1,162,163,2,4640,1315,988,3325,21.29
COBB-SOPE CREEK 03,62,134,0,1088,1285,4,43,70,0,22,38,0,3,3,0,34,33,2,90,96,0,3007,630,444,2377,14.77
COBB-SWEETWATER 01,545,722,1,686,732,0,8,14,0,51,58,0,1,2,0,15,34,0,59,68,3,2999,1581,1451,1418,48.38
COBB-SWEETWATER 02,612,1155,1,368,533,1,8,20,0,43,88,0,1,3,0,19,39,0,98,93,2,3084,2182,1989,902,64.49
COBB-TERRELL MILL 01,996,1461,2,1017,1210,1,63,70,0,111,151,0,6,4,0,60,93,0,225,226,4,5700,3472,3017,2228,52.93
COBB-TIMBER RIDGE 01,34,30,0,1057,1122,0,47,54,0,15,20,0,2,1,0,20,20,0,62,54,2,2540,361,243,2179,9.57
COBB-VAUGHAN 01,147,163,0,1284,1341,0,16,25,0,23,28,0,3,3,0,13,20,0,74,80,2,3222,597,441,2625,13.69
COBB-VININGS 01,179,320,1,718,820,0,26,28,0,28,34,0,3,2,0,16,22,0,98,100,3,2398,860,659,1538,27.48
COBB-VININGS 02,735,1211,2,1672,1794,3,55,88,0,85,86,1,2,3,0,36,83,2,238,256,4,6356,2887,2389,3469,37.59
COBB-VININGS 03,492,861,0,1150,1296,2,53,67,0,29,65,0,3,2,0,28,47,1,117,157,2,4372,1924,1648,2448,37.69
COBB-VININGS 04,221,346,0,1270,1395,3,24,23,0,32,37,1,1,3,0,15,24,0,86,77,4,3562,894,727,2668,20.41
COBB-WADE GREEN 02,508,605,2,1270,1408,2,61,56,0,83,117,0,1,2,0,43,49,2,145,177,2,4533,1853,1529,2680,33.73
COBB-WILLEO 01,116,90,0,1229,1250,3,39,35,0,17,28,1,2,2,0,24,18,0,80,67,2,3003,521,372,2482,12.39
COBB-Total,55850,78573,137,142445,156981,240,6246,7093,25,8788,11147,41,287,312,0,4158,5474,32,15540,15036,383,508788,209122,178163,299666,35.02
COFFEE-DOUGLAS,2171,3042,3,4587,5437,4,49,49,0,213,217,0,6,8,0,48,42,0,138,146,9,16169,6141,5848,10028,36.17
COFFEE-AMBROSE,135,186,0,694,784,0,2,2,0,25,21,0,0,0,0,3,3,0,7,12,0,1874,396,377,1478,20.12
COFFEE-BRIDGETOWN,30,38,0,112,95,0,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,286,79,79,207,27.62
COFFEE-BROXTON,204,272,0,819,918,0,2,6,0,21,27,0,1,2,0,4,11,0,23,12,1,2323,586,550,1737,23.68
COFFEE-NICHOLLS,153,203,0,669,775,1,1,3,0,32,20,0,1,0,0,7,5,0,27,17,1,1915,470,425,1445,22.19
COFFEE-WEST GREEN,23,16,0,403,445,1,0,2,0,3,3,0,0,0,0,0,0,0,4,3,0,903,54,47,849,5.2
COFFEE-88888,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,20
COFFEE-Total,2716,3757,3,7286,8456,6,55,62,0,301,291,0,8,10,0,63,61,0,199,190,11,23475,7727,7327,15748,31.21
COLQUITT-SHAW,1072,1519,1,322,376,0,2,0,0,33,44,0,1,0,0,6,11,0,92,75,3,3557,2859,2689,698,75.6
COLQUITT-MOULTRIE,622,823,0,1272,1656,2,16,15,0,72,68,0,1,1,0,15,22,0,106,123,1,4815,1885,1655,2930,34.37
COLQUITT-AUTREYVILLE,68,107,0,467,535,1,6,11,0,40,34,0,0,0,0,4,7,0,24,30,2,1336,333,277,1003,20.73
COLQUITT-BRIDGECREEK,19,30,0,488,513,0,0,0,0,9,14,0,1,2,0,1,1,0,33,27,0,1138,137,77,1001,6.77
COLQUITT-CROSLAND,21,26,0,80,92,0,0,0,0,10,11,0,0,0,0,2,1,0,5,3,0,251,79,71,172,28.29
COLQUITT-DOERUN,99,136,0,169,202,0,2,0,0,2,2,0,1,0,0,2,5,0,13,10,0,643,272,249,371,38.72
COLQUITT-FUNSTON,52,60,0,367,455,0,0,0,0,20,13,0,0,0,0,0,4,0,20,16,0,1007,185,149,822,14.8
COLQUITT-HAMILTON,8,16,0,319,327,0,1,2,0,6,6,0,1,0,0,4,3,0,25,13,0,731,85,47,646,6.43
COLQUITT-HARTSFIELD,3,2,0,182,193,0,0,0,0,1,1,0,0,0,0,1,0,0,11,9,1,404,29,8,375,1.98
COLQUITT-HOPEWELL,49,50,0,610,657,0,3,4,0,25,32,0,1,1,0,4,3,0,37,38,0,1514,247,172,1267,11.36
COLQUITT-LEE,50,69,0,354,388,0,4,5,0,25,32,0,0,2,0,4,7,0,24,22,0,986,244,198,742,20.08
COLQUITT-MILLCREEK,12,11,0,170,202,0,0,0,0,1,6,0,0,0,0,0,3,0,10,10,1,426,54,33,372,7.75
COLQUITT-MONK,71,85,0,519,628,0,4,0,0,11,13,0,1,0,0,3,2,0,30,36,0,1403,256,190,1147,13.54
COLQUITT-MURPHY,9,12,0,377,424,0,2,7,0,2,4,0,0,0,0,1,4,0,18,16,0,876,75,41,801,4.68
COLQUITT-NORMAN PARK,149,201,0,760,909,0,2,3,0,49,56,0,0,3,0,3,6,0,44,46,0,2231,562,472,1669,21.16
COLQUITT-ROBINSON,33,39,0,327,363,1,0,0,0,15,20,0,0,1,0,1,6,0,22,21,7,856,165,115,691,13.43
COLQUITT-THIGPEN,8,10,0,90,104,0,2,2,0,0,1,0,0,0,0,0,0,0,5,3,0,225,31,23,194,10.22
COLQUITT-TYTY,9,3,0,173,188,0,0,0,0,14,19,0,0,0,0,0,0,0,11,13,0,430,69,45,361,10.47
COLQUITT-WARRIOR,20,21,0,347,400,0,1,1,0,20,17,0,0,0,0,2,3,0,15,20,1,868,121,85,747,9.79
COLQUITT-Total,2374,3220,1,7393,8612,4,45,50,0,355,393,0,7,10,0,53,88,0,545,531,16,23697,7688,6596,16009,27.83
COLUMBIA-KIOKEE BAPT CHURCH,59,57,1,1006,1088,3,9,14,1,11,8,0,3,2,0,8,5,0,78,71,3,2427,330,178,2097,7.33
COLUMBIA-LEWIS METHODIST,280,323,1,1452,1630,2,31,61,0,56,55,0,1,0,0,16,32,0,239,250,2,4431,1347,856,3084,19.32
COLUMBIA-WOODLAWN BAPT ,62,77,0,469,453,0,12,22,0,4,16,0,0,0,0,5,5,0,59,51,0,1235,313,203,922,16.44
COLUMBIA-PATRIOTS PARK,405,497,2,1373,1643,2,42,47,0,60,102,0,3,8,0,28,37,1,308,318,2,4878,1860,1232,3018,25.26
COLUMBIA-HARLEM MIDDLE SCHOOL,90,126,0,732,811,2,4,5,0,15,15,0,1,2,0,9,16,0,67,49,3,1947,402,283,1545,14.54
COLUMBIA-HARLEM BAPTIST,213,275,1,421,515,0,2,5,0,9,11,0,1,2,0,2,7,0,52,54,2,1572,636,528,936,33.59
COLUMBIA-BESSIE THOMAS CENTER,55,84,0,784,832,1,5,2,0,7,12,0,0,1,0,2,6,0,55,53,0,1899,282,174,1617,9.16
COLUMBIA-PHILADELPHIA CHURCH,171,242,1,556,635,3,5,12,0,24,34,0,1,2,0,6,12,0,92,109,2,1907,713,510,1194,26.74
COLUMBIA-GROVETOWN CITY HALL,442,560,3,806,994,2,13,29,0,55,80,0,3,4,0,22,35,0,188,184,3,3423,1621,1246,1802,36.4
COLUMBIA-GROVETOWN METHODIST,331,426,1,551,654,1,11,21,0,42,67,1,1,4,0,20,39,0,147,151,2,2470,1264,964,1206,39.03
COLUMBIA-G A APOSTOLIC CHURCH,97,140,0,511,584,0,8,17,0,14,15,0,1,1,0,13,11,0,63,64,0,1539,444,317,1095,20.6
COLUMBIA-GROVETOWN MIDDLE ,316,421,1,612,765,4,17,22,0,54,82,0,0,1,0,29,21,0,178,172,3,2698,1317,964,1381,35.73
COLUMBIA-WARREN BAPTIST ,293,429,1,530,673,2,13,22,0,41,44,0,1,0,0,14,15,1,140,160,2,2381,1176,874,1205,36.71
COLUMBIA-EUBANK/BLANCHARD CTR,76,100,0,498,514,0,3,4,0,3,5,0,1,0,0,4,5,0,41,38,0,1292,280,201,1012,15.56
COLUMBIA-SECOND MT. CARMEL ,162,214,0,141,134,0,1,0,0,2,2,0,0,1,0,3,1,0,25,22,0,708,433,386,275,54.52
COLUMBIA-DAMASCUS BAPT ,9,12,0,398,448,0,1,3,0,4,7,0,2,2,0,2,2,0,36,31,0,957,111,44,846,4.6
COLUMBIA-COL CTY BOARD OF EDU,146,192,0,734,812,0,19,23,0,35,32,0,1,0,0,11,28,0,88,95,2,2218,672,487,1546,21.96
COLUMBIA-GREENBRIER HIGH,70,80,1,966,1096,0,14,16,0,26,21,0,2,2,0,7,7,0,151,145,2,2606,544,246,2062,9.44
COLUMBIA-REDEEMER CHURCH,275,301,0,1399,1466,3,42,53,0,33,56,0,1,1,0,40,37,0,228,225,1,4161,1293,839,2868,20.16
COLUMBIA-RIVERSIDE ELEMENTARY,91,92,1,544,604,0,8,14,0,15,17,0,1,2,0,8,13,0,46,48,1,1505,357,262,1148,17.41
COLUMBIA-GRACE BAPTIST CHURCH,320,343,2,1013,1077,2,48,56,1,37,50,0,2,0,0,24,31,0,180,178,4,3368,1276,914,2092,27.14
COLUMBIA-CHRIST SANCTIFIED,180,206,0,874,968,0,14,31,0,21,27,1,0,3,0,14,21,0,100,95,1,2556,714,518,1842,20.27
COLUMBIA-BLANCHARD PARK,81,92,1,652,778,2,6,17,0,14,13,0,0,2,0,7,11,0,78,67,0,1821,389,244,1432,13.4
COLUMBIA-MTZ COL FIRE DEPT #4,174,253,2,650,735,0,23,18,1,23,34,0,2,0,0,12,18,1,117,107,2,2172,787,561,1385,25.83
COLUMBIA-BELAIR BAPTIST CHURCH,166,219,1,759,819,1,23,45,0,26,21,0,3,2,0,14,24,0,101,100,3,2327,748,544,1579,23.38
COLUMBIA-MARVIN METHODIST,129,199,0,677,738,0,27,34,0,22,23,0,3,2,0,10,15,0,108,89,0,2076,661,464,1415,22.35
COLUMBIA-WESTSIDE BAPT CHURCH,60,67,0,625,685,2,20,24,0,13,12,0,2,2,0,9,7,0,63,56,1,1648,336,216,1312,13.11
COLUMBIA-TRINITY BAPT CHURCH,43,44,0,435,553,0,4,12,0,14,10,0,0,1,0,10,14,0,70,51,1,1262,274,152,988,12.04
COLUMBIA-ABILENE BAPTIST,104,138,1,728,853,1,10,15,0,16,26,0,0,0,0,7,17,0,87,83,0,2086,504,334,1582,16.01
COLUMBIA-AUGUSTA CHRISTIAN,99,142,2,793,979,0,39,41,0,20,34,0,1,0,0,11,23,0,96,105,1,2386,614,412,1772,17.27
COLUMBIA-STEVENS CREEK ELEM,23,32,0,611,683,0,70,73,0,15,13,0,2,1,0,30,31,0,55,67,0,1706,412,290,1294,17
COLUMBIA-GOSPEL WATER BRANCH,118,135,0,539,574,2,49,44,0,9,10,0,1,1,0,14,15,0,74,71,1,1657,542,396,1115,23.9
COLUMBIA-GENESIS CHURCH,67,75,0,722,755,3,61,75,1,15,19,0,2,1,0,16,18,0,93,83,2,2008,528,350,1480,17.43
COLUMBIA-STEVENS CREEK ,74,79,0,1060,1108,2,84,96,1,10,13,0,1,0,0,23,20,0,116,102,2,2791,621,401,2170,14.37
COLUMBIA-MTZ COL FIRE HDQTR.,91,161,1,423,486,1,9,13,0,13,22,0,1,2,0,6,9,0,63,56,0,1357,447,328,910,24.17
COLUMBIA-LAKESIDE MIDDLE,103,124,0,777,823,0,25,20,1,27,23,0,0,1,0,17,20,0,117,87,1,2166,566,361,1600,16.67
COLUMBIA-MARTINEZ BAPTIST,128,210,0,553,670,0,27,32,0,31,31,0,0,1,0,12,20,0,84,94,0,1893,670,492,1223,25.99
COLUMBIA-GOLD CROSS EMS,68,81,0,728,900,1,5,12,1,12,23,0,0,3,0,13,12,0,78,80,1,2018,389,230,1629,11.4
COLUMBIA-CHURCH OF OUR SAVIOR,169,249,2,764,898,0,28,46,0,28,39,0,1,3,0,13,26,0,122,130,2,2520,858,604,1662,23.97
COLUMBIA-WEST ACRES BAPTIST,120,150,0,938,1052,1,26,37,0,34,20,0,1,0,0,15,25,0,108,145,1,2673,682,428,1991,16.01
COLUMBIA-JOURNEY COMM. ,19,21,0,374,362,0,0,3,0,0,2,0,2,0,0,2,2,0,23,27,0,837,101,51,736,6.09
COLUMBIA-WESLEY METHODIST,99,127,0,993,1124,2,28,38,0,17,21,0,0,0,0,18,29,0,106,112,0,2714,595,377,2119,13.89
COLUMBIA-COL CTY MAIN LIBRARY,126,177,0,620,755,1,38,28,0,17,20,0,0,0,0,14,21,0,105,102,0,2024,648,441,1376,21.79
"COLUMBIA-CHRIST CHURCH, ",110,136,0,1110,1156,2,34,40,0,24,20,0,3,3,0,18,26,0,145,129,3,2959,691,414,2268,13.99
COLUMBIA-BLUERIDGE ELEMENTARY,118,165,0,789,931,0,56,46,0,19,34,0,2,1,0,26,23,0,113,105,1,2429,709,490,1720,20.17
COLUMBIA-CHRIST THE KING CH,75,85,0,784,809,1,107,99,1,10,13,0,0,1,0,17,30,0,101,91,1,2225,631,438,1594,19.69
COLUMBIA-88888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COLUMBIA-99999,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,4,2,2,33.33
COLUMBIA-Total,6507,8360,26,33475,37624,49,1121,1387,8,997,1254,2,53,65,0,621,842,3,4786,4702,58,101940,30792,21246,71148,20.84
COOK-CECIL,318,451,0,389,484,1,3,2,0,9,11,0,1,0,0,6,10,0,44,28,0,1757,883,811,874,46.16
COOK-DELLE BEAMGUARD,128,206,0,795,893,0,6,8,0,9,15,0,1,1,0,4,11,0,36,28,0,2141,453,389,1688,18.17
COOK-ELM PINE,201,284,0,10,16,0,0,0,0,0,2,0,0,0,0,0,1,0,10,7,0,531,505,488,26,91.9
COOK-LENOX,105,135,0,422,447,0,3,3,0,6,10,0,0,0,0,3,4,0,15,10,0,1163,294,269,869,23.13
COOK-MASSEE,33,45,0,325,391,0,0,1,0,2,6,0,0,2,0,1,0,0,16,8,0,830,114,90,716,10.84
COOK-NEW LIFE BAPTIST CH.,34,36,0,462,518,0,4,3,0,6,4,0,0,0,0,2,5,0,26,18,0,1118,138,94,980,8.41
COOK-RIVERBEND,25,45,0,534,572,0,2,4,0,4,5,0,0,0,0,4,0,0,13,12,0,1220,114,89,1106,7.3
COOK-SPARKS,189,357,0,156,187,0,2,1,0,8,14,0,1,0,0,3,2,0,17,17,0,954,611,577,343,60.48
COOK-Total,1033,1559,0,3093,3508,1,20,22,0,44,67,0,3,3,0,23,33,0,177,128,0,9714,3112,2807,6602,28.9
COWETA-SENOIA,181,220,0,1839,2088,1,12,16,0,43,39,0,0,1,0,11,11,0,257,242,2,4963,1035,534,3928,10.76
COWETA-MORELAND,67,84,0,881,992,0,5,9,0,5,6,0,1,0,0,5,4,0,105,66,0,2230,357,186,1873,8.34
COWETA-PINE ROAD,54,54,0,726,794,1,4,5,0,8,13,0,0,1,0,8,4,0,61,68,1,1802,281,151,1521,8.38
COWETA-DRESDEN,24,26,0,329,378,1,0,3,0,2,5,0,0,0,0,0,4,0,36,32,0,840,132,64,708,7.62
COWETA-NEWNAN,599,976,1,629,806,0,3,5,0,22,22,1,1,0,0,5,11,0,121,146,4,3352,1917,1646,1435,49.11
COWETA-SHARPSBURG,116,130,1,1750,1842,2,13,18,0,35,48,1,1,2,0,19,17,1,173,170,2,4341,747,402,3594,9.26
COWETA-FISCHER ROAD,185,204,2,1492,1540,1,21,33,0,53,72,0,1,0,0,18,17,0,206,177,1,4023,990,606,3033,15.06
COWETA-CEDAR CREEK,152,170,1,1947,2086,2,11,21,0,20,39,0,3,1,0,12,11,0,209,210,2,4897,862,441,4035,9.01
COWETA-GRANTVILLE,201,283,0,817,873,1,4,9,0,10,17,0,1,1,0,4,10,0,105,114,3,2453,762,540,1691,22.01
COWETA-HARALSON,79,107,0,779,863,1,5,5,0,6,10,0,0,0,0,5,9,1,85,98,0,2053,410,227,1643,11.06
COWETA-WELCOME,113,140,0,1193,1265,1,4,3,0,26,24,0,1,0,0,11,13,0,116,132,1,3043,584,335,2459,11.01
COWETA-PANTHER CREEK,139,202,2,1077,1165,2,0,7,0,22,25,0,0,0,0,8,13,0,110,105,3,2880,636,418,2244,14.51
COWETA-RAYMOND,79,91,0,870,919,1,1,4,0,14,19,0,0,1,0,9,3,0,92,77,1,2181,391,221,1790,10.13
COWETA-TURIN,166,219,0,1386,1510,2,6,8,0,18,24,0,0,1,0,8,10,0,165,164,7,3694,796,460,2898,12.45
COWETA-SMOKEY ROAD,356,451,0,617,701,1,2,4,0,15,23,1,0,0,0,4,12,0,117,111,0,2415,1096,868,1319,35.94
COWETA-TURKEY CREEK,110,155,0,281,348,2,7,9,0,20,41,1,0,0,0,7,12,0,61,66,2,1122,491,362,631,32.26
COWETA-CENTRAL,621,1155,5,364,459,0,2,9,0,32,40,0,0,1,0,13,17,0,150,166,1,3035,2212,1895,823,62.44
COWETA-ARTS CENTRE,518,686,0,3861,4363,11,86,113,1,141,180,3,4,0,0,53,54,1,532,609,3,11219,2984,1840,8235,16.4
COWETA-GREENTOP,220,307,1,827,995,1,10,14,0,23,31,0,1,1,0,7,7,0,106,110,1,2662,839,622,1823,23.37
COWETA-EXPO CENTER,94,147,0,710,836,2,0,3,0,23,13,0,0,0,0,4,3,0,82,78,0,1995,447,287,1548,14.39
COWETA-WHITE OAK,209,257,1,1691,1821,4,15,22,1,64,67,0,2,0,0,20,26,0,216,228,0,4644,1128,684,3516,14.73
COWETA-MADRAS,252,306,2,1357,1448,3,18,25,0,34,39,0,1,0,0,13,14,0,177,193,4,3886,1078,704,2808,18.12
COWETA-CANNONGATE,61,75,1,1421,1569,5,14,21,0,25,40,0,0,0,0,15,12,0,167,151,2,3579,584,264,2995,7.38
COWETA-WESTSIDE,197,254,0,122,170,0,0,0,0,4,4,0,0,0,0,1,1,0,34,35,0,822,530,461,292,56.08
COWETA-NORTHSIDE,174,204,0,766,868,2,0,6,0,19,19,0,0,0,0,10,7,0,75,73,0,2223,587,439,1636,19.75
COWETA-THOMAS CROSSROADS,172,175,0,1979,2090,4,17,28,0,43,48,0,0,1,0,16,19,0,223,226,1,5042,969,519,4073,10.29
COWETA-COWETA CENTRAL ,47,67,0,626,650,2,3,6,0,21,27,0,0,0,0,9,4,0,59,65,0,1586,308,184,1278,11.6
COWETA-JEFFERSON PARKWAY,879,1383,4,1899,2382,3,94,80,0,140,196,0,0,4,0,49,45,0,441,506,6,8111,3827,2874,4284,35.43
COWETA-99999,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,8,7,5,1,62.5
COWETA-Total,6066,8531,21,32237,35821,56,357,486,2,889,1131,7,17,15,0,344,370,3,4282,4419,47,95101,26987,18239,68114,19.18
CRAWFORD-DISTRICT 1A,77,98,0,129,136,0,0,0,0,4,5,0,0,0,0,1,1,0,13,5,0,469,204,186,265,39.66
CRAWFORD-DISTRICT 1B,226,297,0,185,214,0,0,0,0,2,1,0,0,0,0,5,3,0,24,20,0,977,578,534,399,54.66
CRAWFORD-DISTRICT 2,312,414,1,416,420,0,4,4,0,0,1,0,0,0,0,1,3,0,36,16,0,1628,792,740,836,45.45
CRAWFORD-DISTRICT 3,49,69,0,678,721,0,2,2,0,4,7,0,1,0,0,1,4,0,44,40,0,1622,223,139,1399,8.57
